theta_condition,seed,episode,label,duration,reward_count,wrong_arm_count,timeout_count
ScrTheta,0,0,timeout,90.00000000000914,0,0,1
ScrTheta,0,1,timeout,90.00999999997212,0,0,1
ScrTheta,0,2,timeout,90.00999999991816,0,0,1
ScrTheta,0,3,timeout,90.00999999991814,0,0,1
ScrTheta,0,4,timeout,90.00999999991814,0,0,1
ScrTheta,0,5,timeout,90.0099999999182,0,0,1
ScrTheta,0,6,timeout,90.00999999991814,0,0,1
ScrTheta,0,7,timeout,90.00999999991814,0,0,1
ScrTheta,0,8,timeout,90.00999999991814,0,0,1
ScrTheta,0,9,timeout,90.00999999991814,0,0,1
ScrTheta,2,0,timeout,90.00000000000914,0,0,1
ScrTheta,2,1,timeout,90.00999999997212,0,0,1
ScrTheta,2,2,timeout,90.00999999991816,0,0,1
ScrTheta,2,3,timeout,90.00999999991814,0,0,1
ScrTheta,2,4,timeout,90.00999999991814,0,0,1
ScrTheta,2,5,timeout,90.0099999999182,0,0,1
ScrTheta,2,6,timeout,90.00999999991814,0,0,1
ScrTheta,2,7,timeout,90.00999999991814,0,0,1
ScrTheta,2,8,timeout,90.00999999991814,0,0,1
ScrTheta,2,9,timeout,90.00999999991814,0,0,1
ScrTheta,4,0,timeout,90.00000000000914,0,0,1
ScrTheta,4,1,timeout,90.00999999997212,0,0,1
ScrTheta,4,2,timeout,90.00999999991816,0,0,1
ScrTheta,4,3,timeout,90.00999999991814,0,0,1
ScrTheta,4,4,timeout,90.00999999991814,0,0,1
ScrTheta,4,5,timeout,90.0099999999182,0,0,1
ScrTheta,4,6,timeout,90.00999999991814,0,0,1
ScrTheta,4,7,timeout,90.00999999991814,0,0,1
ScrTheta,4,8,timeout,90.00999999991814,0,0,1
ScrTheta,4,9,timeout,90.00999999991814,0,0,1
ScrTheta,6,0,timeout,90.00000000000914,0,0,1
ScrTheta,6,1,timeout,90.00999999997212,0,0,1
ScrTheta,6,2,timeout,90.00999999991816,0,0,1
ScrTheta,6,3,timeout,90.00999999991814,0,0,1
ScrTheta,6,4,timeout,90.00999999991814,0,0,1
ScrTheta,6,5,timeout,90.0099999999182,0,0,1
ScrTheta,6,6,timeout,90.00999999991814,0,0,1
ScrTheta,6,7,timeout,90.00999999991814,0,0,1
ScrTheta,6,8,timeout,90.00999999991814,0,0,1
ScrTheta,6,9,timeout,90.00999999991814,0,0,1
ScrTheta,42,0,timeout,90.00000000000914,0,0,1
ScrTheta,42,1,timeout,90.00999999997212,0,0,1
ScrTheta,42,2,timeout,90.00999999991816,0,0,1
ScrTheta,42,3,timeout,90.00999999991814,0,0,1
ScrTheta,42,4,timeout,90.00999999991814,0,0,1
ScrTheta,42,5,timeout,90.0099999999182,0,0,1
ScrTheta,42,6,timeout,90.00999999991814,0,0,1
ScrTheta,42,7,timeout,90.00999999991814,0,0,1
ScrTheta,42,8,timeout,90.00999999991814,0,0,1
ScrTheta,42,9,timeout,90.00999999991814,0,0,1
